case,regime,beta,n,noise_level,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
stable_beta5,stable,5.0,1.5,0.05,5,0.03625129699707031,0.007260553821201549,0.07608494758605958,0.015608954308913608,0.05616812229156494,0.011423160395215879,0.006050818892848637,0.003617952565487633
stable_beta8,stable,8.0,1.5,0.05,5,0.25099005699157717,0.004122184949524375,0.388538392384847,0.008195561942594978,0.3197642246882121,0.00614405014939269,0.024178750572432885,0.0030753747329654016
oscillatory_beta5,oscillatory,5.0,3.0,0.05,5,0.002741317749023438,0.0013215379337520874,0.001421817143758138,0.0008146781006238557,0.0020815674463907875,0.0008377868364336095,0.008763135151826553,0.004702905019210908
oscillatory_beta8,oscillatory,8.0,3.0,0.05,5,0.006303417682647705,0.003433290790473572,0.0028500715891520184,0.0017264357406407585,0.004576744635899862,0.0016949388316307495,0.025901630261725928,0.014416256344003675
