metric,value
dataset_path,beta5.0_n3.0_noise0.05_seed4
beta_true,5.000000
n_true,3.000000
beta_estimated,4.995553
n_estimated,2.992677
beta_abs_error,0.004447
n_abs_error,0.007323
beta_rel_error,0.000889
n_rel_error,0.002441
parameter_rel_error,0.001665
state_rmse,0.012874
observation_stride,1
observation_count,1000
observed_components,0
train_iterations,10000
random_seed,4
