metric,value
dataset_path,beta5.0_n3.0_noise0.05_seed1
beta_true,5.000000
n_true,3.000000
beta_estimated,4.996696
n_estimated,2.998278
beta_abs_error,0.003304
n_abs_error,0.001722
beta_rel_error,0.000661
n_rel_error,0.000574
parameter_rel_error,0.000617
state_rmse,0.005614
observation_stride,1
observation_count,1000
observed_components,0
train_iterations,10000
random_seed,1
