metric,value
dataset_path,beta5.0_n3.0_noise0.05_seed2
beta_true,5.000000
n_true,3.000000
beta_estimated,4.995557
n_estimated,3.004544
beta_abs_error,0.004443
n_abs_error,0.004544
beta_rel_error,0.000889
n_rel_error,0.001515
parameter_rel_error,0.001202
state_rmse,0.006405
observation_stride,1
observation_count,1000
observed_components,"0,1"
train_iterations,10000
random_seed,2
