metric,value
dataset_path,beta5.0_n3.0_noise0.05_seed4
beta_true,5.000000
n_true,3.000000
beta_estimated,5.066142
n_estimated,2.984766
beta_abs_error,0.066142
n_abs_error,0.015234
beta_rel_error,0.013228
n_rel_error,0.005078
parameter_rel_error,0.009153
state_rmse,0.019391
observation_stride,-1
observation_count,25
observed_components,"0,1,2"
train_iterations,10000
random_seed,4
