lambda_f,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
0.01,5,0.0024193763732910157,0.0008410622458470508,0.002944167455037435,0.0012395094858841695,0.0026817719141642255,0.0006610855398240961,0.010855244270550474,0.001643572999069336
0.1,5,0.002273120880126953,0.00116150375922516,0.0013780911763509114,0.0012956786687323832,0.0018256060282389325,0.0008675550990548142,0.009915299616105662,0.0010667979029823263
1.0,5,0.002741317749023438,0.0013215379337520874,0.001421817143758138,0.0008146781006238557,0.0020815674463907875,0.0008377868364336095,0.008763135151826553,0.004702905019210908
10.0,5,0.017668666839599605,0.0024587747037817676,0.004779322942097981,0.002702052727475989,0.011223994890848795,0.000984373600724513,0.015656403744322277,0.006131536430803576
100.0,5,0.17816020965576168,0.008199903123043546,0.27078995704650877,0.019307594266241512,0.22447508335113525,0.012695003502510785,0.2548019151917357,0.004014312001273258
