noise_level,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
0.01,2,0.013303470611572266,0.0003383636474609377,0.0033397674560546875,5.89688618977866e-05,0.008321619033813475,0.00019866625467936192,0.005609707841765125,2.2453717891480606e-05
0.05,2,0.014632606506347656,0.001518344879150391,0.0028545459111531573,0.0005266269048055012,0.008743576208750407,0.0004958589871724445,0.010269702588720685,0.0016003719813802485
0.1,2,0.01630992889404297,0.0030772209167480476,0.0021588007609049478,0.0009692509969075521,0.00923436482747396,0.0010539849599202475,0.0118835911249035,0.0002095830203040971
