metric,value
dataset_path,beta8.0_n3.0_noise0.05_seed2
beta_true,8.000000
n_true,3.000000
beta_estimated,7.940700
n_estimated,3.016545
beta_abs_error,0.059300
n_abs_error,0.016545
beta_rel_error,0.007413
n_rel_error,0.005515
parameter_rel_error,0.006464
state_rmse,0.014243
observation_stride,1
observation_count,1000
observed_components,"0,1,2"
train_iterations,10000
random_seed,2
