seed,noise_level,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,final_beta_hat,final_n_hat,outdir
0,0.05,0.003963947296142578,0.0004055500030517578,0.002184748649597168,0.00663938806244962,4.980180263519287,3.0012166500091553,results/exp7_convergence/runs/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1,0.05,0.0005617141723632812,0.0004729429880777995,0.0005173285802205404,0.004591536775281981,4.997191429138184,2.9985811710357666,results/exp7_convergence/runs/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
2,0.05,0.0022691726684570313,0.002219597498575846,0.0022443850835164388,0.004797152016976938,4.988654136657715,3.0066587924957275,results/exp7_convergence/runs/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
3,0.05,0.0042441368103027345,0.001821756362915039,0.003032946586608887,0.017079516705151877,5.021220684051514,3.005465269088745,results/exp7_convergence/runs/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
4,0.05,0.0026676177978515623,0.0021892388661702475,0.0024284283320109047,0.010708082199272356,4.986661911010742,2.9934322834014893,results/exp7_convergence/runs/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
