metric,value
dataset_path,beta5.0_n3.0_noise0.1_seed4
beta_true,5.000000
n_true,3.000000
beta_estimated,4.974463
n_estimated,2.989148
beta_abs_error,0.025537
n_abs_error,0.010852
beta_rel_error,0.005107
n_rel_error,0.003617
parameter_rel_error,0.004362
state_rmse,0.018074
observation_stride,1
observation_count,1000
observed_components,"0,1,2"
train_iterations,10000
random_seed,4
