design,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std,classical_parameter_rel_error_mean,classical_parameter_rel_error_std,classical_state_rmse_mean,classical_state_rmse_std
3/3,5,0.002741317749023438,0.0013215379337520874,0.001421817143758138,0.0008146781006238557,0.0020815674463907875,0.0008377868364336095,0.008763135151826553,0.004702905019210908,0.42079470452698303,0.009064820901618809,0.25556500484400185,4.012613080152621e-06
2/3,5,0.0033782577514648434,0.0022569715936137766,0.0012474536895751953,0.000620817231402665,0.00231285572052002,0.0009896723596847115,0.010545250196639109,0.005206413254054036,0.4228655418524444,0.008169486799339333,0.255772546975581,4.30446684801569e-05
1/3,5,0.004197578430175781,0.00433475989580415,0.0013630390167236328,0.0006758107267352702,0.002780308723449707,0.0021829815196857207,0.011974579779883135,0.007059526767909644,0.5536449768671788,0.004658497745166024,0.25632151826094907,0.0001442198638992243
