metric,value
dataset_path,beta8.0_n3.0_noise0.05_seed4
beta_true,8.000000
n_true,3.000000
beta_estimated,7.939795
n_estimated,2.991074
beta_abs_error,0.060205
n_abs_error,0.008926
beta_rel_error,0.007526
n_rel_error,0.002975
parameter_rel_error,0.005250
state_rmse,0.029129
observation_stride,1
observation_count,1000
observed_components,"0,1,2"
train_iterations,10000
random_seed,4
