beta_guess,n_guess,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
3.0,4.5,0,0.22611045837402344,0.09643212954203288,0.16127129395802817,0.11479683892956805,results/exp4_initial_guess/runs/bg3.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,5.0,0,0.24276113510131836,0.1787139574686686,0.21073754628499347,0.12795201603703837,results/exp4_initial_guess/runs/bg3.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,1.0,0,0.21410765647888183,0.36885122458140057,0.2914794405301412,0.10887465743649291,results/exp4_initial_guess/runs/bg4.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,1.5,0,0.16301774978637695,0.2245779037475586,0.19379782676696777,0.06755874417809112,results/exp4_initial_guess/runs/bg4.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,2.0,0,0.13281450271606446,0.12663968404134116,0.1297270933787028,0.04886774118069807,results/exp4_initial_guess/runs/bg4.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,2.5,0,0.1206589698791504,0.0667256514231364,0.09369231065114339,0.0482594007032875,results/exp4_initial_guess/runs/bg4.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,3.0,0,0.11890115737915039,0.03151965141296387,0.07521040439605713,0.052843361640636625,results/exp4_initial_guess/runs/bg4.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,3.5,0,0.12088994979858399,0.0020858446756998696,0.06148789723714193,0.054658929236175255,results/exp4_initial_guess/runs/bg4.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,4.0,0,0.12414531707763672,0.047487894694010414,0.08581660588582357,0.06198045314706576,results/exp4_initial_guess/runs/bg4.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,4.5,0,0.12804336547851564,0.12121033668518066,0.12462685108184815,0.07725121124417997,results/exp4_initial_guess/runs/bg4.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,5.0,0,0.13191375732421876,0.23470282554626465,0.1833082914352417,0.10354208615998896,results/exp4_initial_guess/runs/bg4.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
5.0,1.0,0,0.12195940017700195,0.32324496905008954,0.22260218461354575,0.08806575360131107,results/exp4_initial_guess/runs/bg5.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
