noise_level,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std,classical_parameter_rel_error_mean,classical_parameter_rel_error_std,classical_state_rmse_mean,classical_state_rmse_std
0.0,5,0.00043697357177734374,0.0,0.000518957773844401,0.0,0.00047796567281087235,0.0,0.0013947730352584786,0.0,0.4305844146490011,5.551115123125783e-17,0.25556083319525913,0.0
0.01,5,0.0008112907409667969,0.0002135227172125039,0.0004459222157796224,0.00032248366140647536,0.0006286064783732096,0.00017878609193277384,0.0028697814028743516,0.0017049969983730922,0.4288941970657395,0.0015110366143972966,0.2555609812736188,1.3281629367327472e-07
0.05,5,0.002741317749023438,0.0013215379337520874,0.001421817143758138,0.0008146781006238557,0.0020815674463907875,0.0008377868364336095,0.008763135151826553,0.004702905019210908,0.42080480761360783,0.009057067768906866,0.2555650016468178,4.0125737817833e-06
0.1,5,0.0045997238159179695,0.002259804172552088,0.002223777770996094,0.0018046454197064308,0.003411750793457031,0.001599359507626584,0.015957333592173346,0.009142210321685131,0.40440052815674915,0.028489298723357523,0.2555852937088719,3.031319371006492e-05
0.2,5,0.0075199508666992185,0.0052002319557954,0.006298351287841797,0.004076497058920778,0.006909151077270509,0.0032929993405192352,0.031364167503227694,0.019278344050829344,0.32549520239843044,0.16048850437575782,0.20609579164560027,0.09900539687383629
