observation_count,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std,classical_parameter_rel_error_mean,classical_parameter_rel_error_std,classical_state_rmse_mean,classical_state_rmse_std
100,5,0.004651012420654297,0.0032684466226350706,0.0016350587209065753,0.0006305349691448748,0.0031430355707804366,0.0016113435995683619,0.011864015605985444,0.0038630265885648135,0.3029697663472833,0.12672108020363537,0.2560616671160263,0.0005583701185417583
50,5,0.006635456085205079,0.004603489497228552,0.0031534671783447266,0.0017639907395558467,0.0048944616317749025,0.002019236621229364,0.015229701994749873,0.00452007448572305,0.26844565087251593,0.10911409619340261,0.25616172694649236,0.000517418276934593
25,5,0.010084362030029296,0.007623645751262992,0.0040508747100830075,0.0017723149280033262,0.007067618370056153,0.0034584263525672893,0.020885777008825684,0.004663110642731514,0.31847462129562915,0.11727906164960114,0.25601183117361903,0.00044475061145439465
10,5,0.01757661819458008,0.006066637854787866,0.005484342575073241,0.005641874120077597,0.011530480384826661,0.0050777742145806095,0.028995864256065353,0.0034686752970471348,0.5330956781091659,0.2014757031253794,0.25633194500504225,0.0005265313288995606
