metric,value
dataset_path,beta5.0_n3.0_noise0.05_seed2
beta_true,5.000000
n_true,3.000000
beta_estimated,5.102649
n_estimated,2.988364
beta_abs_error,0.102649
n_abs_error,0.011636
beta_rel_error,0.020530
n_rel_error,0.003879
parameter_rel_error,0.012204
state_rmse,0.030754
observation_stride,-1
observation_count,10
observed_components,"0,1,2"
train_iterations,10000
random_seed,2
